"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 13:50:48 GMT 2023","Sun Apr 23 13:50:48 GMT 2023","0","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_save_data",""
"broken","Sun Apr 23 13:50:48 GMT 2023","Sun Apr 23 13:50:48 GMT 2023","0","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_sign_out",""
"broken","Sun Apr 23 13:50:43 GMT 2023","Sun Apr 23 13:50:43 GMT 2023","0","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_tagfilter",""
"broken","Sun Apr 23 13:50:47 GMT 2023","Sun Apr 23 13:50:47 GMT 2023","0","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_delete_data",""
"broken","Sun Apr 23 13:50:43 GMT 2023","Sun Apr 23 13:50:43 GMT 2023","0","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_login",""
"broken","Sun Apr 23 13:50:44 GMT 2023","Sun Apr 23 13:50:44 GMT 2023","0","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_list_of_pages",""
"broken","Sun Apr 23 13:50:40 GMT 2023","Sun Apr 23 13:50:40 GMT 2023","0","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_cookies",""
"broken","Sun Apr 23 13:50:45 GMT 2023","Sun Apr 23 13:50:45 GMT 2023","0","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_file_data",""
"broken","Sun Apr 23 13:50:46 GMT 2023","Sun Apr 23 13:50:46 GMT 2023","1","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_update_data",""
"broken","Sun Apr 23 13:50:45 GMT 2023","Sun Apr 23 13:50:45 GMT 2023","0","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_new_data",""
"broken","Sun Apr 23 13:50:42 GMT 2023","Sun Apr 23 13:50:42 GMT 2023","0","test_vizsgaremek_conduit_CSK","test_vizsgaremek_conduit_CSK","TestConduit","","","test_registration",""
